id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
10,"9 & 9a Francisco Crescent, Rosemeadow, NSW 2560",5,2,2,569m²,House,"$1,133,000"
10,"48 Baker Street, Merrylands, NSW 2160",2,2,2,461.6m²,House,"$1,120,000"
10,"109 Kennedy Parade, Lalor Park, NSW 2147",3,1,1,594m²,House,"$1,100,000"
10,"1 Ruthven Street, Bradbury, NSW 2560",4,2,2,502.6m²,House,"$1,100,000"
10,"5 Kindarun Close, Killarney Vale, NSW 2261",3,2,1,717m²,House,"$1,090,000"
10,"84 Crest Road, Albion Park, NSW 2527",4,2,5,564m²,House,"$1,080,000"
10,"68 Tiral Street, Charlestown, NSW 2290",3,2,2,615m²,House,"$1,070,000"
10,"16 Government Road, Wyee Point, NSW 2259",4,2,2,731m²,House,"$1,045,000"
10,"18 Kooringal Avenue, Woongarrah, NSW 2259",4,2,2,570m²,House,"$1,030,000"
10,"43A Cross Street, Doonside, NSW 2767",4,2,2,273m²,House,"$1,005,000"
10,"19 Nightingale Square, Glossodia, NSW 2756",3,1,4,704m²,House,"$1,000,000"
10,"45 Yowaka River Road, South Pambula, NSW 2549",4,2,2,1ha,House,"$1,000,000"
10,"53 Dunkirk Road, Edmondson Park, NSW 2174",3,2,2,247.1m²,House,"$995,000"
11,"63 Wamara Crescent, Forster, NSW 2428",4,2,2,780m²,House,"$975,000"
11,"18 Mcfarlane Avenue, Googong, NSW 2620",4,2,2,418m²,House,"$950,000"
11,"39 Dutton Road, Buxton, NSW 2571",3,2,2,743m²,House,"$950,000"
11,"6 Federation Drive, Hallidays Point, NSW 2430",4,3,2,"4,052m²",House,"$950,000"
11,"6B Orion Drive, Yamba, NSW 2464",3,2,2,809m²,House,"$920,000"
11,"53 Gardenia Crescent, Bomaderry, NSW 2541",5,2,2,720m²,House,"$910,000"
11,"19 Lamartine Avenue, Wentworth Falls, NSW 2782",3,1,1,695.6m²,House,"$902,550"
11,"31 Harper Avenue, Edgeworth, NSW 2285",5,3,1,617m²,House,"$895,000"
11,"20 Drydon Street, Wallsend, NSW 2287",3,1,2,505.9m²,House,"$884,000"
11,"8 Anegada Road, Lake Cathie, NSW 2445",4,2,2,480m²,House,"$880,000"
11,"17 St Johns Road, Campbelltown, NSW 2560",3,1,,,House,"$850,000"
11,"4 Kevin Place, Thirlmere, NSW 2572",3,1,1,406m²,House,"$845,000"
11,"9 Triggs Close, Thornton, NSW 2322",4,2,4,734m²,House,"$840,100"
11,"3/2-4 Galgabba Street, Swansea, NSW 2281",3,2,2,,House,"$840,000"
11,"125 High Street, Wauchope, NSW 2446",4,2,1,"2,097m²",House,"$839,000"
11,"16 Hargraves Street, The Entrance North, NSW 2261",3,1,1,348m²,House,"$830,000"
11,"7 Haylen Place, Blackett, NSW 2770",3,1,2,,House,"$825,000"
11,"60 Drumkeen Lane, Portland, NSW 2847",2,1,8,2.02ha,House,"$815,000"
11,"40 Lagoons Circuit, Nelson Bay, NSW 2315",4,2,2,,House,"$780,000"
11,"6 Azalea Close, Lake Munmorah, NSW 2259",2,1,1,670m²,House,"$751,000"
11,"64 Medley Street, Gulgong, NSW 2852",4,4,2,847m²,House,"$745,000"
11,"2a Mikinos Street, North Boambee Valley, NSW 2450",3,2,1,415m²,House,"$743,000"
11,"169 Wallarah Road, Gorokan, NSW 2263",4,2,2,725m²,House,"$730,000"
11,"1/20-22 Balanada Avenue, Chipping Norton, NSW 2170",2,1,2,128m²,House,"$720,000"
11,"55 Biala Street, Gunning, NSW 2581",3,3,4,"2,000m²",House,"$710,000"
12,"3/3 Panbula Place, Flinders, NSW 2529",2,1,1,,House,"$710,000"
12,"10 Ivor Street, Telarah, NSW 2320",3,1,2,701.9m²,House,"$705,000"
12,"1/8 Bradbury Close, Boambee East, NSW 2452",3,1,1,437m²,House,"$685,000"
12,"1 Preston Street, Cessnock, NSW 2325",3,1,4,809.4m²,House,"$680,000"
12,"2/9 Bob Stanton Close, Wauchope, NSW 2446",3,2,2,422m²,House,"$678,000"
12,"13 Emerald Avenue, Tamworth, NSW 2340",4,2,2,604m²,House,"$665,000"
12,"1 Noonan Street, Parkes, NSW 2870",4,2,3,716m²,House,"$635,000"
12,"5 High St, Cessnock, NSW 2325",3,1,1,419m²,House,"$620,000"
12,"32 Clarke Street, Wallsend, NSW 2287",3,1,,417m²,House,"$570,000"
12,"54 Sloane Street, Goulburn, NSW 2580",2,1,1,680m²,House,"$550,000"
12,"351 Centenary Street, East Albury, NSW 2640",3,1,1,761m²,House,"$545,000"
12,"8 Glenroi Avenue, Orange, NSW 2800",3,1,2,662m²,House,"$505,000"
12,"6 Goolagar Crescent, Springdale Heights, NSW 2641",3,1,3,956m²,House,"$499,900"
12,"20 Oak Tree Drive, Armidale, NSW 2350",2,2,1,787m²,House,"$437,500"
12,"14-16 Young Street, Oaklands, NSW 2646",2,1,4,"2,025m²",House,"$185,000"
12,"Address available on request, Kenthurst, NSW 2156",7,6,8,2.02ha,Acreage,"$7,200,000"
12,"287-293 Reynolds Road, Londonderry, NSW 2753",7,4,4,2.69ha,Acreage,"$3,800,000"
